Geschlecht,Alter,Kinder,Familienstand,Berufstaetig,Einkaufstag,Einkaufsuhrzeit,Wohnort,Haushaltsnettoeinkommen,Stammkunde,Einkaufssumme,Elektrowerkzeuge,Eisenwaren,Handwerkzeuge,Sanitaermaterial,Schliesstechnik,Fliesen,Farben,Armaturen,Renovierung,Elektromaterial,Baustoffe,Holz,Bodenbelag,Leuchten,Gartengeraete
w,41-50,nein,Partnerschaft,ja,Freitag,12-14 Uhr,10 - 25 km,1000-<2000,1 bis 5,69,0,1,0,50,0,41,0,57,0,0,0,0,0,0,0
m,31-40,ja,Partnerschaft,nein,Freitag,12-14 Uhr,> 25 km,1000-<2000,> 5,32,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0
m,31-40,ja,ledig,ja,Freitag,>17 Uhr,10 - 25 km,<1000,0,245,56,0,0,99,0,67,0,0,60,0,30,0,0,0,0
w,18-30,nein,ledig,ja,Mittwoch,<10 Uhr,< 10 km,3200-<4500,> 5,139,0,0,57,0,0,0,0,0,0,0,82,0,0,0,0
m,31-40,ja,ledig,ja,Mittwoch,14-17 Uhr,10 - 25 km,3200-<4500,> 5,369,33,12,24,0,28,0,0,0,78,52,120,26,118,45,0
m,31-40,nein,ledig,ja,Mittwoch,10-12 Uhr,< 10 km,1000-<2000,> 5,222,0,0,0,147,0,118,0,114,0,0,0,75,0,0,0
m,>60,nein,ledig,ja,Samstag,12-14 Uhr,< 10 km,2000-<3200,1 bis 5,640,0,0,0,0,0,0,0,0,198,0,378,64,0,0,0
w,18-30,nein,Partnerschaft,nein,Samstag,14-17 Uhr,> 25 km,<1000,> 5,559,0,4,2,66,84,144,0,107,14,90,399,0,0,108,0
w,>60,ja,ledig,nein,Freitag,12-14 Uhr,10 - 25 km,1000-<2000,> 5,145,0,0,27,0,0,0,0,0,0,0,0,0,118,0,0
m,>60,ja,Partnerschaft,nein,Freitag,12-14 Uhr,10 - 25 km,3200-<4500,> 5,494,0,0,32,88,90,40,0,0,128,62,0,0,0,0,0
m,18-30,ja,Partnerschaft,nein,Freitag,10-12 Uhr,10 - 25 km,2000-<3200,> 5,214,0,0,12,0,0,0,0,0,0,0,202,0,0,0,0
w,18-30,nein,ledig,ja,Mittwoch,>17 Uhr,> 25 km,1000-<2000,1 bis 5,545,0,10,16,0,44,154,0,204,61,50,0,0,0,84,0
w,18-30,nein,ledig,nein,Donnerstag,>17 Uhr,< 10 km,2000-<3200,> 5,271,0,0,0,81,43,381,0,21,135,147,0,0,0,114,0
m,41-50,ja,Partnerschaft,ja,Donnerstag,>17 Uhr,10 - 25 km,>4500,0,313,0,0,0,0,0,0,0,0,0,0,222,0,91,0,0
m,18-30,nein,Partnerschaft,ja,Samstag,12-14 Uhr,< 10 km,1000-<2000,> 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
m,41-50,nein,ledig,ja,Dienstag,>17 Uhr,10 - 25 km,2000-<3200,> 5,53,0,18,39,0,126,0,0,0,0,0,0,0,0,0,0
m,18-30,nein,Partnerschaft,nein,Freitag,12-14 Uhr,10 - 25 km,2000-<3200,1 bis 5,7,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
w,51-60,nein,Partnerschaft,nein,Freitag,>17 Uhr,< 10 km,3200-<4500,> 5,507,0,14,0,120,0,0,0,0,122,57,103,0,0,9,148
m,31-40,ja,Partnerschaft,ja,Montag,10-12 Uhr,< 10 km,3200-<4500,> 5,237,0,0,0,0,0,0,0,0,237,0,0,0,0,0,0
w,>60,nein,ledig,ja,Mittwoch,>17 Uhr,< 10 km,2000-<3200,0,44,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0
m,18-30,ja,Partnerschaft,ja,Montag,>17 Uhr,10 - 25 km,2000-<3200,0,390,172,8,17,35,68,0,0,51,0,49,0,28,0,21,0
m,18-30,ja,Partnerschaft,nein,Freitag,14-17 Uhr,< 10 km,>4500,0,54,0,0,6,16,0,108,0,0,0,0,0,32,0,0,0
m,18-30,ja,ledig,ja,Montag,10-12 Uhr,< 10 km,2000-<3200,0,86,0,8,0,0,0,0,0,0,0,0,0,0,0,0,78
m,18-30,nein,ledig,ja,Donnerstag,14-17 Uhr,< 10 km,1000-<2000,> 5,22,0,3,16,0,0,0,0,0,0,0,0,19,0,0,0
m,18-30,ja,ledig,ja,Montag,<10 Uhr,< 10 km,1000-<2000,1 bis 5,204,0,12,18,0,38,0,0,0,0,0,0,66,0,0,0
w,>60,ja,ledig,ja,Donnerstag,<10 Uhr,< 10 km,2000-<3200,1 bis 5,55,0,27,11,0,54,0,0,0,0,28,0,0,0,48,0
m,41-50,nein,ledig,nein,Mittwoch,14-17 Uhr,< 10 km,1000-<2000,1 bis 5,298,0,18,24,28,54,135,0,204,210,0,0,22,0,0,0
m,41-50,ja,ledig,ja,Samstag,<10 Uhr,< 10 km,2000-<3200,0,220,0,6,57,63,72,0,0,0,128,108,0,0,43,81,0
m,18-30,nein,Partnerschaft,nein,Samstag,14-17 Uhr,< 10 km,1000-<2000,> 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
m,51-60,nein,ledig,ja,Donnerstag,14-17 Uhr,< 10 km,1000-<2000,1 bis 5,185,72,0,6,23,0,0,0,360,98,84,0,0,0,0,0
m,31-40,nein,Partnerschaft,ja,Freitag,14-17 Uhr,< 10 km,2000-<3200,1 bis 5,436,138,0,0,0,0,0,0,0,156,140,17,57,0,62,0
m,>60,ja,ledig,ja,Donnerstag,14-17 Uhr,10 - 25 km,3200-<4500,1 bis 5,199,0,0,0,134,0,342,0,62,48,37,0,0,0,39,0
m,41-50,nein,Partnerschaft,ja,Donnerstag,>17 Uhr,< 10 km,2000-<3200,1 bis 5,215,0,10,0,42,0,0,93,285,0,0,0,0,70,0,0
w,18-30,nein,ledig,ja,Dienstag,10-12 Uhr,< 10 km,1000-<2000,0,21,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0
m,>60,ja,ledig,ja,Freitag,10-12 Uhr,< 10 km,2000-<3200,0,452,0,8,28,0,24,0,0,0,0,0,408,0,0,0,0
w,18-30,nein,Partnerschaft,ja,Freitag,<10 Uhr,< 10 km,3200-<4500,0,654,105,4,10,0,52,42,0,0,318,0,0,0,152,0,0
m,18-30,nein,ledig,ja,Freitag,12-14 Uhr,10 - 25 km,1000-<2000,> 5,123,50,27,9,46,96,0,0,0,0,0,0,0,0,0,0
w,51-60,ja,ledig,nein,Donnerstag,<10 Uhr,10 - 25 km,1000-<2000,> 5,278,0,0,0,0,0,81,0,0,52,162,0,35,0,99,0
m,18-30,nein,Partnerschaft,ja,Montag,>17 Uhr,< 10 km,<1000,> 5,8,0,8,15,0,42,0,0,0,0,0,0,0,0,0,0
w,>60,ja,Partnerschaft,ja,Freitag,>17 Uhr,> 25 km,1000-<2000,1 bis 5,332,0,0,5,186,0,22,0,0,33,141,0,0,0,75,0
w,18-30,ja,Partnerschaft,nein,Samstag,14-17 Uhr,< 10 km,<1000,> 5,177,78,15,4,0,21,0,0,0,33,0,37,14,0,0,0
m,18-30,nein,ledig,nein,Samstag,>17 Uhr,> 25 km,>4500,1 bis 5,121,0,21,39,0,33,0,0,0,0,0,0,4,0,0,75
m,>60,nein,Partnerschaft,nein,Montag,>17 Uhr,10 - 25 km,3200-<4500,0,96,0,12,48,75,2,267,0,222,9,0,0,0,0,0,0
w,51-60,nein,ledig,ja,Freitag,14-17 Uhr,< 10 km,<1000,0,401,168,10,20,93,56,198,0,0,0,130,0,0,0,26,0
m,18-30,ja,Partnerschaft,ja,Samstag,>17 Uhr,< 10 km,3200-<4500,0,57,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0
m,18-30,ja,ledig,ja,Dienstag,12-14 Uhr,10 - 25 km,1000-<2000,1 bis 5,120,0,9,16,27,26,270,0,0,92,84,0,0,0,74,0
w,51-60,ja,Partnerschaft,ja,Montag,12-14 Uhr,10 - 25 km,<1000,> 5,276,30,4,0,114,33,79,0,136,0,0,0,36,0,0,0
w,>60,ja,Partnerschaft,ja,Mittwoch,>17 Uhr,< 10 km,3200-<4500,> 5,687,0,6,0,0,0,0,129,0,183,38,246,0,0,27,268
m,18-30,nein,Partnerschaft,ja,Samstag,10-12 Uhr,< 10 km,<1000,0,569,249,0,0,74,0,102,0,114,113,54,0,0,0,99,0
w,18-30,ja,ledig,nein,Freitag,12-14 Uhr,< 10 km,1000-<2000,> 5,332,0,12,9,0,33,0,0,0,118,0,111,0,0,0,60
m,31-40,ja,ledig,ja,Mittwoch,>17 Uhr,< 10 km,3200-<4500,1 bis 5,343,0,0,0,0,39,0,0,0,76,0,0,0,0,0,228
m,18-30,ja,Partnerschaft,nein,Dienstag,10-12 Uhr,< 10 km,2000-<3200,0,548,0,15,57,35,26,91,0,70,0,0,456,0,0,0,0
m,41-50,ja,Partnerschaft,ja,Samstag,10-12 Uhr,> 25 km,<1000,1 bis 5,632,0,0,26,58,0,65,0,82,102,90,254,0,204,40,0
m,>60,nein,Partnerschaft,nein,Donnerstag,14-17 Uhr,< 10 km,1000-<2000,1 bis 5,115,41,3,14,57,2,0,0,50,0,0,0,0,0,0,0
w,31-40,ja,ledig,nein,Donnerstag,12-14 Uhr,> 25 km,1000-<2000,0,288,0,8,18,0,0,0,0,0,52,0,228,0,0,0,0
m,41-50,nein,ledig,nein,Montag,>17 Uhr,10 - 25 km,2000-<3200,> 5,345,0,27,42,0,0,0,0,0,264,0,0,0,0,0,0
m,>60,ja,Partnerschaft,ja,Samstag,14-17 Uhr,10 - 25 km,1000-<2000,1 bis 5,800,67,8,24,0,30,0,0,0,0,204,417,0,0,72,0
w,31-40,nein,ledig,nein,Samstag,>17 Uhr,10 - 25 km,1000-<2000,> 5,258,58,18,32,0,0,0,17,0,188,135,0,30,0,0,0
w,31-40,ja,ledig,ja,Samstag,10-12 Uhr,10 - 25 km,1000-<2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
m,18-30,nein,ledig,ja,Samstag,<10 Uhr,< 10 km,<1000,0,194,0,0,0,64,0,78,0,186,168,88,0,0,0,10,0
w,51-60,ja,ledig,ja,Samstag,12-14 Uhr,< 10 km,1000-<2000,0,651,0,4,8,51,110,183,0,82,132,0,98,33,0,0,0
w,18-30,nein,ledig,ja,Dienstag,>17 Uhr,< 10 km,1000-<2000,> 5,3,0,3,0,0,18,0,0,0,0,0,0,0,0,0,0
w,41-50,ja,ledig,ja,Samstag,12-14 Uhr,> 25 km,1000-<2000,1 bis 5,296,0,0,0,0,0,0,0,129,0,162,0,0,0,0,0
m,51-60,ja,Partnerschaft,ja,Samstag,<10 Uhr,10 - 25 km,>4500,> 5,193,0,7,8,0,54,0,0,0,0,0,48,138,0,0,0
m,>60,nein,Partnerschaft,ja,Montag,10-12 Uhr,< 10 km,2000-<3200,> 5,350,0,0,11,129,0,213,0,0,72,122,0,0,0,34,0
m,18-30,ja,ledig,nein,Dienstag,10-12 Uhr,< 10 km,>4500,> 5,309,0,0,0,0,0,0,0,0,86,135,0,0,0,96,0
w,18-30,nein,Partnerschaft,ja,Samstag,>17 Uhr,< 10 km,2000-<3200,1 bis 5,126,0,0,0,0,0,0,0,0,126,0,0,0,0,0,0
w,18-30,ja,ledig,nein,Montag,>17 Uhr,10 - 25 km,2000-<3200,0,326,63,8,0,36,0,44,0,38,219,0,0,0,0,0,0
w,51-60,nein,Partnerschaft,ja,Mittwoch,14-17 Uhr,< 10 km,>4500,1 bis 5,176,122,8,39,0,81,0,46,0,0,0,0,0,0,0,0
m,18-30,nein,Partnerschaft,ja,Samstag,<10 Uhr,< 10 km,3200-<4500,> 5,234,0,3,19,0,3,0,0,0,180,0,0,45,0,0,0
m,>60,ja,ledig,nein,Freitag,>17 Uhr,< 10 km,>4500,1 bis 5,268,0,6,0,38,0,210,0,321,0,0,189,35,0,0,0
w,41-50,nein,Partnerschaft,nein,Donnerstag,<10 Uhr,< 10 km,1000-<2000,1 bis 5,165,0,0,7,0,0,0,0,0,0,90,0,68,0,0,0
m,>60,nein,ledig,ja,Mittwoch,14-17 Uhr,< 10 km,2000-<3200,> 5,267,0,18,33,42,62,0,6,0,84,0,70,0,0,39,0
w,41-50,ja,Partnerschaft,ja,Freitag,>17 Uhr,< 10 km,<1000,0,355,132,27,0,0,0,0,0,0,0,0,148,48,0,0,0
m,18-30,ja,Partnerschaft,nein,Freitag,<10 Uhr,10 - 25 km,2000-<3200,> 5,149,0,15,0,0,0,0,0,0,0,0,110,0,0,0,0
w,>60,ja,ledig,ja,Samstag,12-14 Uhr,< 10 km,<1000,1 bis 5,204,0,8,0,22,72,60,0,130,174,0,0,0,0,0,0
m,41-50,ja,ledig,ja,Samstag,14-17 Uhr,< 10 km,<1000,1 bis 5,213,0,0,0,0,0,0,0,0,153,25,0,0,58,74,0
m,18-30,nein,Partnerschaft,nein,Montag,10-12 Uhr,> 25 km,<1000,0,445,0,0,24,0,60,0,0,0,41,46,0,0,234,34,0
m,31-40,ja,Partnerschaft,ja,Dienstag,10-12 Uhr,10 - 25 km,1000-<2000,> 5,104,0,1,0,23,0,0,0,108,13,24,0,0,0,0,0
m,>60,nein,Partnerschaft,ja,Freitag,12-14 Uhr,10 - 25 km,1000-<2000,> 5,543,114,4,0,168,111,294,0,111,60,99,158,0,0,42,0
m,31-40,nein,Partnerschaft,nein,Donnerstag,<10 Uhr,< 10 km,1000-<2000,0,540,0,12,45,0,42,0,0,0,114,16,486,15,0,0,0
m,18-30,ja,ledig,ja,Samstag,10-12 Uhr,< 10 km,1000-<2000,> 5,634,0,18,39,0,3,0,153,0,306,0,157,0,0,0,0
m,>60,nein,Partnerschaft,ja,Mittwoch,>17 Uhr,10 - 25 km,1000-<2000,> 5,229,0,0,7,0,0,0,0,0,52,0,0,0,65,105,0
