@relation kd1000-weka.filters.unsupervised.attribute.NumericCleaner-min1.0-min-defaultNaN-max1.7976931348623157E308-max-default1.7976931348623157E308-closeto0.0-closeto-default0.0-closeto-tolerance1.0E-6-Rfirst-last-decimals-1

@attribute Geschlecht {w,m}
@attribute Alter {18-30,41-50,>60,31-40,51-60}
@attribute Kinder {nein,ja}
@attribute Familienstand {Partnerschaft,ledig}
@attribute Berufstaetig {ja,nein}
@attribute Einkaufstag {Montag,Mittwoch,Dienstag,Freitag,Samstag,Donnerstag}
@attribute Einkaufsuhrzeit {'10-12 Uhr','<10 Uhr','>17 Uhr','12-14 Uhr','14-17 Uhr'}
@attribute Wohnort {'> 25 km','< 10 km','10 - 25 km'}
@attribute Haushaltsnettoeinkommen {2000-<3200,>4500,1000-<2000,<1000,3200-<4500}
@attribute Stammkunde {'1 bis 5',0,'> 5'}
@attribute Einkaufssumme numeric
@attribute Elektrowerkzeuge numeric
@attribute Eisenwaren numeric
@attribute Handwerkzeuge numeric
@attribute Sanitaermaterial numeric
@attribute Schliesstechnik numeric
@attribute Fliesen numeric
@attribute Farben numeric
@attribute Armaturen numeric
@attribute Renovierung numeric
@attribute Elektromaterial numeric
@attribute Baustoffe numeric
@attribute Holz numeric
@attribute Bodenbelag numeric
@attribute Leuchten numeric
@attribute Aktionsware numeric

@data
w,31-40,nein,Partnerschaft,ja,Mittwoch,'10-12 Uhr','10 - 25 km',2000-<3200,'> 5',137,34,4,13,30,15,144,?,243,69,?,?,?,?,?,?
m,18-30,nein,ledig,ja,Dienstag,'14-17 Uhr','< 10 km',1000-<2000,'> 5',138,?,?,?,38,?,?,42,195,?,?,?,58,?,?,?
w,>60,ja,ledig,ja,Dienstag,'>17 Uhr','10 - 25 km',3200-<4500,'1 bis 5',526,154,?,20,?,?,?,?,?,303,52,?,?,?,72,?
m,>60,ja,ledig,nein,Samstag,'14-17 Uhr','10 - 25 km',<1000,'> 5',549,?,?,?,84,11,?,?,333,204,118,126,?,?,34,?
m,51-60,nein,ledig,ja,Freitag,'10-12 Uhr','10 - 25 km',2000-<3200,0,320,?,?,9,87,?,?,?,230,?,?,182,42,?,?,?
w,18-30,nein,Partnerschaft,ja,Samstag,'<10 Uhr','10 - 25 km',3200-<4500,'1 bis 5',226,117,?,?,52,?,82,?,?,63,57,?,?,?,?,?
w,18-30,nein,Partnerschaft,ja,Mittwoch,'<10 Uhr','10 - 25 km',3200-<4500,'1 bis 5',576,150,21,5,2,98,114,?,91,42,195,?,?,?,33,39
m,>60,ja,ledig,ja,Mittwoch,'14-17 Uhr','10 - 25 km',1000-<2000,'> 5',156,?,?,?,?,?,?,?,?,78,?,?,78,?,?,?
w,31-40,nein,ledig,nein,Samstag,'10-12 Uhr','< 10 km',<1000,'> 5',341,136,8,8,102,12,?,?,?,57,?,?,38,?,?,?
m,41-50,nein,ledig,ja,Freitag,'>17 Uhr','10 - 25 km',1000-<2000,0,369,?,2,12,?,?,?,?,?,100,?,107,?,160,?,?
w,41-50,nein,ledig,ja,Mittwoch,'12-14 Uhr','10 - 25 km',3200-<4500,'> 5',385,?,27,8,48,?,85,?,219,270,?,?,?,?,?,?
m,31-40,ja,Partnerschaft,ja,Samstag,'>17 Uhr','10 - 25 km',1000-<2000,'> 5',202,?,6,?,40,34,67,?,?,?,?,?,?,?,?,?
m,31-40,ja,Partnerschaft,ja,Freitag,'10-12 Uhr','> 25 km',2000-<3200,'> 5',196,?,?,?,?,?,?,?,?,?,?,?,?,?,?,196
w,18-30,nein,ledig,ja,Donnerstag,'<10 Uhr','< 10 km',2000-<3200,'1 bis 5',452,?,?,20,?,?,?,258,?,?,?,76,?,?,?,98
w,31-40,ja,ledig,nein,Freitag,'12-14 Uhr','< 10 km',1000-<2000,'1 bis 5',58,?,?,?,?,?,?,?,?,?,?,58,?,?,?,?
m,31-40,nein,ledig,ja,Samstag,'12-14 Uhr','> 25 km',1000-<2000,0,113,92,?,3,?,?,?,?,?,?,?,?,?,?,?,18
m,51-60,nein,ledig,nein,Freitag,'10-12 Uhr','< 10 km',>4500,0,156,?,12,5,?,1,?,144,?,?,?,?,?,?,?,?
m,>60,nein,Partnerschaft,ja,Samstag,'>17 Uhr','< 10 km',2000-<3200,0,459,?,?,?,111,?,?,?,228,?,?,?,?,?,?,348
w,>60,ja,ledig,nein,Freitag,'10-12 Uhr','10 - 25 km',2000-<3200,'> 5',424,44,6,?,93,75,?,?,77,147,70,?,72,?,?,139
m,41-50,nein,Partnerschaft,ja,Donnerstag,'14-17 Uhr','< 10 km',2000-<3200,'> 5',510,?,18,16,?,?,?,?,232,102,?,112,?,?,?,?
w,>60,ja,ledig,ja,Samstag,'14-17 Uhr','< 10 km',<1000,'> 5',204,?,?,?,?,?,?,?,?,52,9,?,?,?,?,?
m,18-30,ja,ledig,nein,Dienstag,'12-14 Uhr','10 - 25 km',>4500,0,152,?,2,12,22,3,79,?,?,?,56,?,?,?,33,?
w,>60,nein,ledig,nein,Dienstag,'12-14 Uhr','10 - 25 km',1000-<2000,0,248,120,14,20,80,?,192,?,84,?,?,?,34,?,?,?
m,18-30,nein,ledig,nein,Montag,'12-14 Uhr','10 - 25 km',>4500,'1 bis 5',1257,171,9,?,102,63,119,?,?,124,105,546,24,?,22,174
m,>60,nein,Partnerschaft,ja,Samstag,'12-14 Uhr','< 10 km',1000-<2000,'> 5',90,?,6,10,?,?,?,?,?,?,?,?,?,?,?,84
w,31-40,ja,Partnerschaft,ja,Montag,'>17 Uhr','> 25 km',1000-<2000,'> 5',749,?,8,18,?,30,?,?,?,?,?,360,12,?,?,369
w,31-40,nein,Partnerschaft,ja,Freitag,'>17 Uhr','< 10 km',2000-<3200,'1 bis 5',?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
w,18-30,nein,ledig,ja,Freitag,'<10 Uhr','10 - 25 km',>4500,'> 5',129,?,?,?,35,?,86,?,240,186,90,?,?,?,38,?
m,18-30,nein,Partnerschaft,nein,Donnerstag,'<10 Uhr','< 10 km',1000-<2000,'> 5',453,?,21,16,?,105,?,?,138,8,?,52,18,?,?,216
m,>60,nein,Partnerschaft,ja,Montag,'12-14 Uhr','< 10 km',<1000,'> 5',435,?,6,11,3,?,44,?,218,25,153,?,?,?,38,?
m,31-40,ja,ledig,ja,Samstag,'>17 Uhr','< 10 km',3200-<4500,'> 5',36,?,18,11,?,123,?,?,?,?,?,?,18,?,?,?
m,31-40,nein,ledig,ja,Samstag,'<10 Uhr','< 10 km',2000-<3200,'> 5',149,?,1,18,?,?,?,?,?,130,?,?,?,?,?,?
m,31-40,ja,ledig,ja,Donnerstag,'10-12 Uhr','10 - 25 km',1000-<2000,'1 bis 5',24,?,?,?,24,?,206,?,138,?,?,?,?,?,?,?
w,>60,nein,Partnerschaft,nein,Donnerstag,'>17 Uhr','10 - 25 km',<1000,'> 5',312,60,?,?,11,?,21,192,315,?,49,?,?,?,29,?
m,18-30,nein,ledig,ja,Mittwoch,'>17 Uhr','< 10 km',3200-<4500,'1 bis 5',475,82,8,8,?,?,?,?,?,?,?,?,46,?,?,327
m,18-30,nein,ledig,ja,Mittwoch,'>17 Uhr','10 - 25 km',3200-<4500,'1 bis 5',346,?,12,30,?,9,?,?,?,?,?,?,72,?,?,262
m,31-40,ja,ledig,ja,Dienstag,'12-14 Uhr','> 25 km',3200-<4500,'> 5',564,73,12,24,?,20,?,?,?,94,243,122,66,?,66,40
m,31-40,ja,Partnerschaft,ja,Montag,'10-12 Uhr','< 10 km',<1000,'> 5',447,?,?,?,?,?,?,?,?,78,?,156,?,?,?,213
m,18-30,nein,Partnerschaft,ja,Freitag,'10-12 Uhr','10 - 25 km',2000-<3200,'> 5',333,?,18,36,21,22,132,?,?,234,?,?,?,?,?,?
m,41-50,nein,ledig,ja,Freitag,'10-12 Uhr','< 10 km',>4500,'1 bis 5',157,?,5,11,84,?,?,?,318,?,?,?,36,?,?,32
m,>60,ja,Partnerschaft,ja,Donnerstag,'>17 Uhr','< 10 km',1000-<2000,0,293,?,4,6,?,64,?,?,?,135,?,135,19,?,?,?
w,18-30,ja,Partnerschaft,nein,Samstag,'>17 Uhr','< 10 km',2000-<3200,0,442,?,?,?,72,?,164,?,?,3,165,176,?,29,52,?
m,18-30,ja,ledig,ja,Montag,'<10 Uhr','< 10 km',1000-<2000,'1 bis 5',142,?,24,21,?,24,?,?,?,180,67,?,?,?,48,?
m,18-30,ja,ledig,ja,Samstag,'<10 Uhr','< 10 km',>4500,'> 5',270,?,21,21,84,?,?,?,69,165,?,?,?,?,?,?
m,31-40,ja,ledig,nein,Montag,'>17 Uhr','10 - 25 km',3200-<4500,'> 5',233,?,?,?,?,?,?,?,?,70,?,?,9,?,?,154
w,31-40,nein,ledig,ja,Mittwoch,'>17 Uhr','< 10 km',>4500,'> 5',307,?,10,13,?,57,?,?,?,38,146,?,10,?,63,141
m,41-50,nein,Partnerschaft,ja,Dienstag,'12-14 Uhr','> 25 km',1000-<2000,'> 5',489,?,6,9,18,?,?,8,?,?,?,124,?,?,?,333
m,18-30,nein,Partnerschaft,ja,Montag,'>17 Uhr','< 10 km',1000-<2000,'> 5',584,?,10,39,?,3,?,?,?,100,27,?,?,?,126,447
w,18-30,nein,Partnerschaft,ja,Dienstag,'>17 Uhr','< 10 km',1000-<2000,'1 bis 5',293,54,5,33,?,72,?,?,?,?,?,?,81,?,?,153
m,31-40,nein,Partnerschaft,nein,Donnerstag,'12-14 Uhr','< 10 km',2000-<3200,0,419,?,6,?,50,?,64,?,?,?,39,?,?,?,42,?
m,51-60,nein,Partnerschaft,ja,Dienstag,'14-17 Uhr','< 10 km',2000-<3200,'1 bis 5',229,?,?,26,?,75,57,?,?,?,?,?,?,?,?,71
m,31-40,nein,Partnerschaft,ja,Samstag,'<10 Uhr','10 - 25 km',<1000,'1 bis 5',296,?,?,?,68,?,74,?,97,?,36,102,?,?,50,26
w,>60,ja,ledig,nein,Donnerstag,'10-12 Uhr','10 - 25 km',2000-<3200,0,278,140,?,?,8,?,214,?,218,?,?,98,32,?,?,?
m,51-60,nein,Partnerschaft,nein,Freitag,'<10 Uhr','10 - 25 km',1000-<2000,0,472,56,?,?,81,?,37,?,?,?,?,?,?,?,?,291
w,18-30,ja,ledig,ja,Dienstag,'14-17 Uhr','< 10 km',1000-<2000,0,34,?,12,24,?,23,?,?,?,?,?,?,?,?,?,?
m,31-40,ja,Partnerschaft,ja,Freitag,'<10 Uhr','< 10 km',>4500,0,289,?,4,10,?,50,?,?,?,65,9,?,?,?,70,86
w,18-30,nein,ledig,ja,Samstag,'>17 Uhr','< 10 km',1000-<2000,'> 5',76,?,18,21,36,?,?,?,72,?,?,?,?,?,?,?
m,51-60,ja,Partnerschaft,nein,Dienstag,'>17 Uhr','< 10 km',<1000,'> 5',254,27,4,?,?,7,?,51,?,?,?,172,?,?,?,?
w,31-40,nein,Partnerschaft,nein,Freitag,'14-17 Uhr','10 - 25 km',1000-<2000,0,89,?,3,42,?,44,?,?,?,80,?,?,?,?,?,?
w,51-60,ja,Partnerschaft,nein,Samstag,'10-12 Uhr','10 - 25 km',>4500,'> 5',350,?,12,?,44,102,110,?,384,?,74,?,?,?,20,44
m,18-30,ja,Partnerschaft,ja,Mittwoch,'>17 Uhr','10 - 25 km',2000-<3200,'1 bis 5',372,?,?,10,18,?,?,?,141,?,34,230,?,?,12,?
m,18-30,nein,ledig,ja,Samstag,'10-12 Uhr','< 10 km',1000-<2000,'1 bis 5',193,?,?,?,39,?,?,?,183,108,?,46,?,?,?,?
w,41-50,nein,ledig,ja,Montag,'12-14 Uhr','> 25 km',1000-<2000,'> 5',142,?,11,26,?,?,?,?,?,?,?,108,?,?,?,23
w,>60,ja,ledig,ja,Mittwoch,'>17 Uhr','10 - 25 km',1000-<2000,'1 bis 5',854,162,5,?,17,13,?,?,180,60,240,258,?,?,54,172
w,18-30,ja,ledig,nein,Samstag,'10-12 Uhr','10 - 25 km',>4500,'> 5',545,?,?,?,129,?,17,?,327,?,76,172,?,?,30,114
m,51-60,nein,Partnerschaft,ja,Samstag,'>17 Uhr','> 25 km',1000-<2000,0,313,?,?,?,102,?,43,?,?,?,?,?,?,118,?,93
m,18-30,nein,Partnerschaft,nein,Samstag,'>17 Uhr','10 - 25 km',1000-<2000,'> 5',893,?,15,?,102,?,?,130,?,74,126,?,4,?,70,150
m,18-30,nein,ledig,nein,Dienstag,'10-12 Uhr','< 10 km',2000-<3200,'1 bis 5',148,?,?,?,?,?,?,?,?,?,108,40,?,?,70,?
w,18-30,nein,ledig,nein,Montag,'>17 Uhr','< 10 km',2000-<3200,0,304,?,?,?,?,?,?,?,?,90,20,?,?,?,15,224
m,51-60,nein,ledig,nein,Samstag,'<10 Uhr','< 10 km',1000-<2000,'> 5',169,?,?,?,81,?,?,?,?,?,?,?,?,88,?,?
w,41-50,ja,Partnerschaft,ja,Samstag,'>17 Uhr','> 25 km',1000-<2000,'> 5',183,?,8,4,22,26,48,?,34,?,?,127,10,?,?,?
w,41-50,nein,Partnerschaft,ja,Montag,'12-14 Uhr','< 10 km',1000-<2000,'1 bis 5',97,?,4,7,93,108,231,?,18,?,?,?,?,?,?,?
m,41-50,nein,Partnerschaft,ja,Mittwoch,'>17 Uhr','10 - 25 km',>4500,0,479,?,?,?,?,?,?,?,?,19,?,232,?,228,?,?
w,51-60,nein,Partnerschaft,ja,Samstag,'14-17 Uhr','< 10 km',1000-<2000,'> 5',544,?,?,8,?,?,174,?,?,99,20,?,?,?,40,342
m,18-30,nein,ledig,ja,Montag,'>17 Uhr','> 25 km',2000-<3200,'1 bis 5',147,?,?,7,?,12,?,?,?,?,66,?,?,?,42,?
m,>60,ja,ledig,ja,Freitag,'>17 Uhr','10 - 25 km',1000-<2000,'> 5',272,?,?,27,68,?,?,?,38,?,?,161,16,?,?,?
w,51-60,nein,ledig,ja,Montag,'12-14 Uhr','> 25 km',2000-<3200,'1 bis 5',574,?,?,15,?,43,?,?,96,68,?,130,?,?,?,222
m,31-40,ja,Partnerschaft,nein,Montag,'>17 Uhr','< 10 km',2000-<3200,'1 bis 5',315,?,9,?,135,22,?,?,?,?,?,?,?,54,?,117
w,>60,nein,ledig,nein,Donnerstag,'<10 Uhr','< 10 km',1000-<2000,0,608,101,?,?,82,23,?,?,142,?,?,264,?,?,?,138
m,>60,nein,Partnerschaft,ja,Samstag,'10-12 Uhr','< 10 km',2000-<3200,'1 bis 5',262,?,9,39,24,58,106,?,?,?,?,?,27,?,?,202
m,18-30,ja,ledig,ja,Freitag,'>17 Uhr','10 - 25 km',1000-<2000,'> 5',440,?,24,14,90,60,?,?,201,?,?,?,50,?,?,276
m,41-50,nein,ledig,ja,Freitag,'<10 Uhr','< 10 km',2000-<3200,0,260,?,12,36,66,12,285,?,?,?,?,?,?,?,?,96
m,>60,ja,ledig,ja,Freitag,'<10 Uhr','< 10 km',1000-<2000,'> 5',380,?,16,?,?,30,?,?,?,66,64,86,?,?,44,97
m,>60,nein,Partnerschaft,ja,Freitag,'>17 Uhr','< 10 km',<1000,'1 bis 5',578,?,6,6,?,25,?,?,?,?,?,188,?,?,?,384
w,18-30,nein,ledig,nein,Samstag,'>17 Uhr','< 10 km',2000-<3200,0,117,?,12,6,?,42,?,?,103,?,?,?,?,?,?,?
m,18-30,nein,Partnerschaft,ja,Freitag,'<10 Uhr','< 10 km',1000-<2000,0,777,?,?,9,225,?,300,?,75,?,31,244,?,?,9,180
m,31-40,nein,Partnerschaft,nein,Samstag,'14-17 Uhr','10 - 25 km',1000-<2000,'1 bis 5',540,40,?,?,126,?,222,?,?,34,69,255,50,?,52,?
w,31-40,nein,ledig,ja,Samstag,'>17 Uhr','10 - 25 km',<1000,'> 5',110,?,?,?,?,?,?,?,?,?,?,58,?,?,52,?
m,31-40,nein,ledig,ja,Dienstag,'>17 Uhr','< 10 km',<1000,'> 5',42,?,?,?,?,?,?,?,?,?,?,?,?,?,?,42
w,18-30,ja,ledig,ja,Dienstag,'10-12 Uhr','< 10 km',2000-<3200,'> 5',390,138,6,?,105,81,?,?,?,?,?,141,?,?,?,?
m,>60,nein,ledig,nein,Montag,'>17 Uhr','< 10 km',3200-<4500,0,125,?,15,8,?,63,?,?,?,?,?,?,?,?,?,110
m,18-30,nein,Partnerschaft,ja,Mittwoch,'14-17 Uhr','< 10 km',2000-<3200,'1 bis 5',259,?,20,3,?,66,?,?,?,261,74,?,?,?,?,?
w,41-50,nein,ledig,nein,Dienstag,'10-12 Uhr','< 10 km',<1000,'1 bis 5',?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
w,18-30,nein,Partnerschaft,ja,Dienstag,'10-12 Uhr','10 - 25 km',1000-<2000,'> 5',171,57,?,?,?,?,?,?,?,?,?,114,?,?,?,?
m,18-30,nein,Partnerschaft,nein,Donnerstag,'<10 Uhr','> 25 km',1000-<2000,'> 5',408,132,?,?,87,78,?,?,68,282,78,?,?,?,42,?
m,51-60,ja,ledig,ja,Samstag,'14-17 Uhr','< 10 km',2000-<3200,0,290,?,8,22,135,27,?,?,148,?,?,?,?,?,?,147
w,41-50,ja,ledig,nein,Dienstag,'10-12 Uhr','< 10 km',2000-<3200,'1 bis 5',164,?,6,?,?,?,?,?,?,93,?,26,38,?,?,?
w,41-50,nein,ledig,ja,Montag,'>17 Uhr','< 10 km',1000-<2000,'1 bis 5',258,69,8,?,?,102,?,?,?,?,?,21,?,?,27,111
w,51-60,nein,ledig,nein,Samstag,'10-12 Uhr','< 10 km',2000-<3200,'1 bis 5',136,?,?,?,?,?,?,?,?,?,?,?,?,?,?,136
m,31-40,nein,Partnerschaft,nein,Freitag,'14-17 Uhr','< 10 km',3200-<4500,'1 bis 5',409,?,?,?,?,?,?,?,?,?,?,149,?,?,?,260
m,18-30,ja,ledig,ja,Montag,'>17 Uhr','10 - 25 km',1000-<2000,'1 bis 5',196,?,?,?,?,?,?,?,?,180,?,?,?,?,16,?
m,41-50,nein,Partnerschaft,nein,Freitag,'<10 Uhr','10 - 25 km',1000-<2000,0,354,?,?,?,?,?,?,?,?,?,?,?,?,?,?,354
m,18-30,nein,ledig,ja,Dienstag,'>17 Uhr','< 10 km',2000-<3200,'1 bis 5',218,?,8,28,?,42,?,?,?,?,?,201,?,?,?,?
w,51-60,ja,Partnerschaft,ja,Montag,'12-14 Uhr','10 - 25 km',<1000,'> 5',376,30,4,39,114,81,?,?,?,?,?,?,36,?,?,100
m,18-30,ja,Partnerschaft,nein,Samstag,'10-12 Uhr','< 10 km',1000-<2000,0,548,?,4,22,?,?,?,?,?,75,29,346,?,?,75,81
w,41-50,ja,ledig,ja,Montag,'10-12 Uhr','< 10 km',>4500,'1 bis 5',269,?,33,36,?,?,?,?,?,?,?,?,?,?,32,204
m,18-30,ja,ledig,ja,Donnerstag,'10-12 Uhr','< 10 km',>4500,'> 5',451,?,3,15,108,30,97,?,?,76,54,174,?,?,23,?
m,>60,ja,Partnerschaft,ja,Mittwoch,'>17 Uhr','< 10 km',2000-<3200,'1 bis 5',358,?,?,?,72,?,96,130,?,?,?,156,?,?,?,?
m,>60,ja,Partnerschaft,ja,Mittwoch,'>17 Uhr','< 10 km',2000-<3200,'1 bis 5',270,123,15,18,?,64,?,86,?,?,?,?,28,18,?,?
m,>60,nein,Partnerschaft,ja,Samstag,'12-14 Uhr','> 25 km',3200-<4500,'> 5',182,?,10,18,?,36,?,?,?,?,?,?,?,?,?,60
m,51-60,nein,Partnerschaft,ja,Freitag,'10-12 Uhr','> 25 km',1000-<2000,'1 bis 5',105,?,?,20,?,?,?,?,?,?,?,85,?,?,?,?
w,31-40,ja,ledig,ja,Dienstag,'12-14 Uhr','< 10 km',<1000,'1 bis 5',128,?,22,14,60,3,88,?,120,?,?,?,?,?,?,?
m,51-60,ja,ledig,ja,Samstag,'>17 Uhr','< 10 km',1000-<2000,0,12,?,?,12,?,?,?,?,?,?,?,?,?,?,?,?
m,18-30,ja,ledig,ja,Montag,'10-12 Uhr','< 10 km',1000-<2000,'1 bis 5',435,?,12,12,74,42,?,?,?,?,?,137,32,?,40,130
m,18-30,nein,Partnerschaft,ja,Montag,'10-12 Uhr','< 10 km',>4500,'1 bis 5',469,?,4,12,41,76,55,?,87,?,180,111,?,?,?,88
w,>60,nein,Partnerschaft,nein,Mittwoch,'>17 Uhr','< 10 km',1000-<2000,'> 5',156,?,12,?,?,108,?,?,?,?,?,?,39,?,?,?
m,>60,nein,Partnerschaft,nein,Samstag,'>17 Uhr','< 10 km',3200-<4500,'1 bis 5',483,?,36,15,32,27,102,?,159,67,63,124,?,?,16,54
w,18-30,nein,Partnerschaft,ja,Freitag,'<10 Uhr','< 10 km',<1000,'1 bis 5',181,90,3,9,70,114,46,?,35,?,?,?,?,?,?,18
m,>60,ja,ledig,nein,Samstag,'<10 Uhr','< 10 km',<1000,'> 5',637,?,?,12,?,?,162,?,?,32,4,366,?,?,18,?
m,31-40,nein,Partnerschaft,nein,Dienstag,'<10 Uhr','10 - 25 km',3200-<4500,'> 5',264,?,7,24,80,108,67,?,216,?,74,?,?,?,54,103
w,51-60,ja,Partnerschaft,nein,Samstag,'10-12 Uhr','< 10 km',1000-<2000,'1 bis 5',466,?,?,?,14,?,138,?,?,?,?,276,?,?,?,176
m,>60,ja,ledig,ja,Montag,'12-14 Uhr','10 - 25 km',1000-<2000,'1 bis 5',442,?,?,?,?,34,?,?,?,?,177,?,?,?,?,231
m,31-40,nein,Partnerschaft,ja,Mittwoch,'>17 Uhr','10 - 25 km',1000-<2000,'> 5',?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
m,31-40,nein,ledig,ja,Samstag,'>17 Uhr','< 10 km',1000-<2000,'> 5',464,?,?,?,21,34,?,?,?,?,62,74,?,?,94,183
m,31-40,ja,ledig,ja,Dienstag,'10-12 Uhr','< 10 km',1000-<2000,'1 bis 5',459,201,2,14,?,40,?,?,?,82,?,?,?,?,?,174
